id,status_group,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,water_per_person,unknown_construction_yr,age_at_inspection
16872,functional needs repair,0.0,2011-07-27,,0,,33.54222258,-9.17665663,Kanisani Morovian,0,Lake Nyasa,Mpandapanda,Mbeya,12,4,Rungwe,Kiwira,,True,GeoData Consultants Ltd,VWC,K,Unknown,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,,True,
59898,functional needs repair,200.0,2011-03-26,Dhv,266,DWE,36.89839974,-7.85579928,Amani,0,Rufiji,General Tyre,Morogoro,5,3,Kilombero,Mang'ula,300.0,True,GeoData Consultants Ltd,WUA,Mwaya Mn,True,1998.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,0.6666666666666666,False,13.0
48102,functional needs repair,0.0,2013-02-21,Government Of Tanzania,-32,DWE,39.49151322,-8.88165906,Msenjeleni,0,Ruvuma / Southern Coast,Mkwanyule,Lindi,80,13,Kilwa,Masoko,1013.0,Unknown,GeoData Consultants Ltd,Water authority,Mtanga water supply,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,0.0,True,
49071,functional needs repair,0.0,2013-03-16,Kkkt,2223,KKKT,36.25461787,-2.90751657,Kwa Ngoiboini,0,Internal,Larkaria,Arusha,2,6,Longido,Ketumbeine,250.0,True,GeoData Consultants Ltd,VWC,Olchoronyokye water projec,Unknown,2002.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,0.0,False,11.0
60074,functional needs repair,0.0,2013-02-03,Government Of Tanzania,981,DWE,30.38713168,-5.10792723,Kwa Mzee Bwenge,0,Lake Tanganyika,Jumuiya,Kigoma,16,3,Kigoma Rural,Uvinza,300.0,False,GeoData Consultants Ltd,VWC,Nyanza water project,True,1997.0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe multiple,communal standpipe,0.0,False,16.0
9096,functional needs repair,0.0,2011-07-14,Kaemp,0,DWE,31.62715349,-1.21680448,Nyakambu,0,Lake Victoria,Ulaukya,Kagera,18,7,Misenyi,Buyango,,True,GeoData Consultants Ltd,VWC,,True,,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,improved spring,improved spring,,True,
53577,functional needs repair,1500.0,2013-03-25,Government Of Tanzania,1600,Government,37.88986452,-4.36732057,Kwa Enziyohana,0,Pangani,Tariso,Kilimanjaro,3,3,Same,Suji,140.0,True,GeoData Consultants Ltd,Water authority,Hempanga water supply,True,1978.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,10.714285714285714,False,35.0
14123,functional needs repair,750.0,2013-02-18,Government Of Tanzania,1298,Government,30.10273337,-4.50713784,Kabanga Teachers College,0,Lake Tanganyika,Kiduguda A,Kigoma,16,2,Kasulu,Murufiti,450.0,True,GeoData Consultants Ltd,Water authority,Chovora,True,1975.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,1.6666666666666667,False,38.0
53972,functional needs repair,0.0,2013-03-26,Mission,1500,Mission,34.81910548,-11.10229734,Kwa Mzee Mwesi,0,Lake Nyasa,Makugulu 'B',Ruvuma,10,3,Mbinga,Mikalanga,50.0,Unknown,GeoData Consultants Ltd,WUG,Government,True,2005.0,gravity,gravity,gravity,wug,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,8.0
70070,functional needs repair,12000.0,2013-02-25,Japan,1020,DWE,35.34810051,-9.89158573,Kwa Magreth,0,Lake Nyasa,Lituta,Ruvuma,10,2,Songea Rural,Mahanje,,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa mahanje,True,2002.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,,False,11.0
65476,functional needs repair,500.0,2013-01-16,Norad,1016,RWE,29.69282676,-4.7475472000000005,Kituo Cha Afya,0,Lake Tanganyika,Bitale A,Kigoma,16,3,Kigoma Rural,Kagongo,155.0,True,GeoData Consultants Ltd,VWC,Mkongoro One,True,1985.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe multiple,communal standpipe,3.225806451612903,False,28.0
42195,functional needs repair,0.0,2011-04-10,World Bank,0,World,36.55646735,-6.37243735,Shuleni,0,Wami / Ruvu,Chang'Ombe,Dodoma,1,1,Mpwapwa,Kimagai,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,,True,
36067,functional needs repair,200.0,2013-02-11,Norad,959,DWE,29.64793205,-4.76804596,Shule Ya Msingi Mgaraganza,0,Lake Tanganyika,Mgaraganza,Kigoma,16,3,Kigoma Rural,Kagongo,560.0,True,GeoData Consultants Ltd,Parastatal,Mgaraganza water project,True,1984.0,gravity,gravity,gravity,parastatal,parastatal,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.35714285714285715,False,29.0
11957,functional needs repair,0.0,2011-04-14,,0,,33.84952070000001,-8.82302461,Shule Ya Msingi,0,Rufiji,Majenje,Mbeya,12,7,Mbarali,Igurusi,,True,GeoData Consultants Ltd,WUA,,True,,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,,True,
25165,functional needs repair,0.0,2011-03-14,Tardo,1785,Tardo,38.26204353,-4.6675996,Kwa Mzee Ramadhani,0,Pangani,Kwevumo,Tanga,4,1,Lushoto,Shume,1.0,True,GeoData Consultants Ltd,VWC,Kibohelo  forest,True,1992.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,19.0
48033,functional needs repair,0.0,2011-04-15,Government Of Tanzania,0,Centr,35.79284444,-4.51556434,Mdasiru,0,Internal,Shuleni,Dodoma,1,1,Kondoa,Masange,,True,GeoData Consultants Ltd,VWC,Kwa,False,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,,True,
11447,functional needs repair,50.0,2013-01-21,Government Of Tanzania,109,DWE,38.99315731,-9.25518964,Kwachopoti,0,Ruvuma / Southern Coast,Kijijini,Lindi,80,13,Kilwa,Likawage,630.0,True,GeoData Consultants Ltd,WUG,Likawage Water supply,False,1976.0,submersible,submersible,submersible,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,0.07936507936507936,False,37.0
5060,functional needs repair,250.0,2013-02-11,Danida,1407,DANIDA,30.072180100000004,-4.3241225,Shuleni,0,Lake Tanganyika,Nyambemba Juu,Kigoma,16,2,Kasulu,Munyegera,750.0,True,GeoData Consultants Ltd,Water authority,Nyanga/Kalege,True,2006.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,0.3333333333333333,False,7.0
29153,functional needs repair,0.0,2013-01-24,District Council,286,District water department,39.11931398,-9.90286201,Shuleni,0,Ruvuma / Southern Coast,Kariakoo,Lindi,80,53,Ruangwa,Mandawa,380.0,True,GeoData Consultants Ltd,WUA,Mandawa,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,0.0,False,38.0
20625,functional needs repair,0.0,2013-02-10,Dwsp,0,DWE,0.0,-2e-08,Yinza,0,Lake Victoria,Mbugani,Shinyanga,17,1,Bariadi,Mhango,,Unknown,GeoData Consultants Ltd,WUG,,False,,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,,True,
7936,functional needs repair,0.0,2011-07-23,Private Individual,0,DWE,31.75404436,-1.33369854,Shule Ya Sekondari Kabale,0,Lake Victoria,Kabale,Kagera,18,2,Bukoba Rural,Kabaragaine,,True,GeoData Consultants Ltd,VWC,,True,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,,True,
25339,functional needs repair,0.0,2011-04-04,Commu,0,Commu,35.8033711,-4.60465381,Shule Ya Sekondari,0,Internal,Masange,Dodoma,1,1,Kondoa,Masange,,True,GeoData Consultants Ltd,VWC,Masa,False,,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,,True,
19574,functional needs repair,500.0,2013-02-10,Danida,575,DANIDA,37.23245087,-10.95524842,Kwa Mzee Mwarange,0,Ruvuma / Southern Coast,Majengo,Ruvuma,10,1,Tunduru,Nandembo,1.0,True,GeoData Consultants Ltd,VWC,Nandembo Water Supply,False,1992.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,500.0,False,21.0
